CustomerID,CustomerName,Gender,Age,MaritalStatus,DependentsCount,Occupation,IncomeBand,CustomerSegment,CustomerLifetimeValue,Region,State,City,ZipCode,Market,UrbanRural,PopulationDensity,NetworkCoverageScore,AccountStartDate,TenureMonths,ContractType,InternetService,PhoneService,NumLines,DeviceType,DeviceAgeMonths,UnlimitedData,StreamingTV,StreamingMovies,InternationalCalling,VoicemailService,SecurityPackage,CloudBackup,MonthlyDataUsageGB,MonthlyVoiceMinutes,MonthlySMS,AppUsageFrequency,PortalVisits,DaysSinceLastLogin,MonthlyCharges,TotalCharges,Revenue,ARPU,RevenueLast12M,MonthlyDiscount,PromotionType,AutoPayEnabled,PaymentMethod,LatePaymentsLast12M,FailedPaymentCount,SatisfactionScore,NPSScore,SupportTicketsLast90Days,ComplaintCount,AvgResolutionTimeHours,OutageImpactScore,CustomerStatus,Churn,ChurnDate,ChurnReason,ChurnProbability,RiskSegment,RetentionOfferGiven,RetentionOfferAccepted
C000001,Customer 1,Male,55,Married,0,Professional,Low,Family,7083.85,West,California,Los Angeles,88907,Urban,Urban,9028,76.4,2023-01-14,95,Month-to-Month,Cable,Yes,3,Android,49,Yes,No,No,No,Yes,Yes,No,55.6,1606,396,12,11,154,49.86,4736.7,4736.7,49.86,598.32,7.94,None,No,Credit Card,3,0,4,41,1,2,21.8,10,Churned,Yes,2026-01-06,Network Quality,0.45,Low,Yes,Yes
C000002,Customer 2,Female,28,Married,2,Student,High,Premium,2541.07,South,Georgia,Atlanta,99593,Metro,Urban,2903,80.8,2020-09-29,11,Two Year,Fiber Optic,Yes,4,Tablet,18,Yes,No,Yes,Yes,Yes,No,No,137.5,914,2323,29,10,54,100.74,1108.14,1108.14,100.74,1108.14,19.66,Retention,No,Bank Transfer,2,1,2,-37,0,0,53.9,9,Active,No,,,0.2,Medium,No,No
C000003,Customer 3,Male,58,Single,5,Retired,High,Consumer,5047.4,Northeast,Massachusetts,Boston,88104,Suburban,Rural,9164,93.6,2018-02-17,18,One Year,Cable,Yes,6,Android,44,No,No,Yes,No,No,Yes,No,6.6,3007,2947,9,16,45,159.86,2877.48,2877.48,159.86,1918.32,15.23,None,No,Bank Transfer,1,2,2,95,3,3,12.5,9,Active,No,,,0.28,Low,No,No
C000004,Customer 4,Male,23,Divorced,3,Professional,High,Family,10970.17,West,California,Los Angeles,72296,Metro,Urban,4442,80.6,2024-10-20,119,Month-to-Month,DSL,Yes,2,iPhone,46,No,No,No,No,No,Yes,Yes,116.2,1434,86,19,17,58,69.93,8321.67,8321.67,69.93,839.16,17.65,None,Yes,Credit Card,1,0,5,-92,2,0,62.0,2,Churned,Yes,2026-06-11,Price Too High,0.33,Medium,No,Yes
C000005,Customer 5,Female,40,Married,3,Retired,High,Consumer,3523.31,South,North Carolina,Charlotte,94696,Urban,Urban,6696,88.4,2019-03-24,32,One Year,Fiber Optic,Yes,2,iPhone,35,No,Yes,No,Yes,No,No,Yes,437.9,358,1815,26,17,25,49.05,1569.6,1569.6,49.05,588.6,1.52,None,Yes,Bank Transfer,1,3,7,24,1,0,35.2,7,Active,No,,,0.08,Low,Yes,No
C000006,Customer 6,Female,27,Single,2,Student,Low,Consumer,10966.89,West,Nevada,Las Vegas,17492,Urban,Rural,8338,95.9,2023-12-16,34,Two Year,Fiber Optic,Yes,1,Android,55,Yes,Yes,Yes,Yes,No,Yes,Yes,291.6,212,2536,3,13,168,136.01,4624.34,4624.34,136.01,1632.12,17.51,Seasonal,No,Bank Transfer,5,2,8,-39,2,0,19.9,3,Active,No,,,0.08,High,No,No
C000007,Customer 7,Male,50,Married,1,Business,Low,Family,157.68,Northeast,New York,New York,30676,Suburban,Rural,8766,60.3,2024-03-21,2,Month-to-Month,DSL,Yes,6,Android,57,Yes,No,Yes,Yes,Yes,No,No,304.4,2989,1404,7,20,67,45.62,91.24,91.24,45.62,91.24,15.16,Seasonal,Yes,Credit Card,5,3,10,-30,2,0,4.1,6,Active,No,,,0.33,Low,No,Yes
C000008,Customer 8,Male,52,Single,2,Government,High,Family,17820.16,Midwest,Minnesota,Minneapolis,15482,Suburban,Rural,753,95.1,2020-05-10,72,Month-to-Month,Cable,Yes,2,Android,23,No,Yes,Yes,Yes,Yes,No,Yes,93.8,3836,1360,26,13,171,135.2,9734.4,9734.4,135.2,1622.4,25.92,Bundle,No,Bank Transfer,6,0,2,-3,0,1,62.9,8,Active,No,,,0.45,Low,Yes,No
C000009,Customer 9,Female,39,Married,0,Business,Medium,Business,31243.73,Northeast,Pennsylvania,Philadelphia,80282,Suburban,Urban,1989,94.2,2020-12-05,106,One Year,Fiber Optic,Yes,5,Router,3,Yes,No,No,No,No,Yes,No,450.3,828,1043,2,13,0,130.7,13854.2,13854.2,130.7,1568.4,15.6,Bundle,No,Mailed Check,0,2,4,59,0,3,23.3,2,Churned,Yes,2025-11-04,Network Quality,0.28,Medium,No,No
C000010,Customer 10,Male,57,Divorced,2,Retired,High,Consumer,10327.7,Midwest,Michigan,Detroit,37549,Suburban,Rural,7718,77.2,2025-07-30,71,Month-to-Month,Fiber Optic,Yes,5,Tablet,51,Yes,Yes,No,No,Yes,Yes,No,116.2,865,603,1,1,62,89.98,6388.58,6388.58,89.98,1079.76,29.52,None,No,Mailed Check,5,1,7,83,0,1,50.4,8,Active,No,,,0.33,Medium,Yes,Yes
